Continuing training from epoch 19 with edge weight 3.0
E19 | Step 370/13500 | Loss: 12.0275 | l1: 1.2370 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0359 | edge: 0.7383 | saturation: 0.0164
E19 | Step 380/13500 | Loss: 12.0707 | l1: 1.1031 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0339 | edge: 0.9337 | saturation: 0.0000
E19 | Step 390/13500 | Loss: 11.8295 | l1: 1.1188 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0364 | edge: 0.6743 | saturation: 0.0000
E19 | Step 400/13500 | Loss: 12.0338 | l1: 1.4657 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0501 | edge: 0.3375 | saturation: 0.1805
E19 | Step 410/13500 | Loss: 12.2636 | l1: 1.5818 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0591 | edge: 0.6226 | saturation: 0.0000
E19 | Step 420/13500 | Loss: 11.6984 | l1: 1.1575 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0329 | edge: 0.5080 | saturation: 0.0000
E19 | Step 430/13500 | Loss: 13.3543 | l1: 2.6304 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.1339 | edge: 0.5899 | saturation: 0.0000
E19 | Step 440/13500 | Loss: 11.9165 | l1: 1.1717 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0384 | edge: 0.7064 | saturation: 0.0000
E19 | Step 450/13500 | Loss: 13.5244 | l1: 2.6619 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.1266 | edge: 0.7359 | saturation: 0.0000
E19 | Step 460/13500 | Loss: 12.7294 | l1: 1.8166 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0749 | edge: 0.8380 | saturation: 0.0000
E19 | Step 470/13500 | Loss: 11.3777 | l1: 1.0979 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0218 | edge: 0.2580 | saturation: 0.0000
E19 | Step 480/13500 | Loss: 11.6373 | l1: 0.9525 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0221 | edge: 0.6571 | saturation: 0.0057
E19 | Step 490/13500 | Loss: 11.8212 | l1: 1.1507 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0324 | edge: 0.5559 | saturation: 0.0822
E19 | Step 500/13500 | Loss: 12.7524 | l1: 1.8296 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0786 | edge: 0.7730 | saturation: 0.0712
E19 | Step 510/13500 | Loss: 11.7581 | l1: 1.2139 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0431 | edge: 0.4551 | saturation: 0.0460
